
tooltip_Init_TimeWarpA									 \nInitializing, please wait...
tooltip_Init_TimeWarpB									 \nCalculating TimeWarpFactor.\nThis takes 1 game minute...\n\n Start at: *A   End at: *B\n Current minute: *C\n Time Passed: *D\n\n Map size (before expansion): calculating...\n Time Warp Factor: calculating...\n Slow Time Mutator: calculating...
tooltip_Init_TimeWarpC									 \nBenchmark completed. Results:\n\n Start at: *A   End at: *B\n Current minute: *C\n Time Passed: *D\n\n Map size (before expansion): *E\n Time Warp Factor: *F\n Slow Time Mutator: *G\n\nWaiting some more...
tooltip_ReadyForAction									 \nReady for action

object_PhotoOfDeadPrisoner								 R.I.P. Prisoner
object_PhotoOfDeadWorkman								 R.I.P. Workman
object_PhotoOfDeadGuard									 R.I.P. Guard
object_PhotoOfDeadArmedGuard							 R.I.P. Armed Guard
object_PhotoOfDeadDoctor								 R.I.P. Doctor
object_PhotoOfDeadOrderly								 R.I.P. Orderly
object_PhotoOfDeadCook									 R.I.P. Cook
object_PhotoOfDeadGardener								 R.I.P. Gardener
object_PhotoOfDeadJanitor								 R.I.P. Janitor
object_PhotoOfDeadDogHandler							 R.I.P. Dog Handler
object_PhotoOfDeadDog									 R.I.P. Dog
object_PhotoOfDeadSniper								 R.I.P. Sniper
object_PhotoOfDeadWarden								 R.I.P. Warden
object_PhotoOfDeadChief									 R.I.P. Chief
object_PhotoOfDeadForeman								 R.I.P. Foreman
object_PhotoOfDeadPsychologist							 R.I.P. Psychologist
object_PhotoOfDeadPsychiatrist							 R.I.P. Psychiatrist
object_PhotoOfDeadAccountant							 R.I.P. Accountant
object_PhotoOfDeadLawyer								 R.I.P. Lawyer
object_PhotoOfDeadSystemAdministrator					 R.I.P. System Administrator
object_PhotoOfDeadComputerNerd							 R.I.P. Computer Nerd
object_PhotoOfDeadSimulationOfficeManager				 R.I.P. Office Simulation Manager
object_PhotoOfDeadYogaMaster							 R.I.P. Yoga Master
object_PhotoOfDeadGraveDigger							 R.I.P. Grave Digger
object_PhotoOfDeadPrisonFiremanA0						 R.I.P. Fireman
object_PhotoOfDeadPrisonFiremanA1						 R.I.P. Fireman
object_PhotoOfDeadPrisonFiremanA2						 R.I.P. Fireman
object_PhotoOfDeadPrisonFiremanA3						 R.I.P. Fireman
object_PhotoOfDeadPrisonFiremanB0						 R.I.P. Fireman
object_PhotoOfDeadPrisonFiremanB1						 R.I.P. Fireman
object_PhotoOfDeadPrisonFiremanB2						 R.I.P. Fireman
object_PhotoOfDeadPrisonFiremanB3						 R.I.P. Fireman
object_PhotoOfDeadPrisonFiremanC0						 R.I.P. Fireman
object_PhotoOfDeadPrisonFiremanC1						 R.I.P. Fireman
object_PhotoOfDeadPrisonFiremanC2						 R.I.P. Fireman
object_PhotoOfDeadPrisonFiremanC3						 R.I.P. Fireman
object_PhotoOfDeadPrisonFiremanD0						 R.I.P. Fireman
object_PhotoOfDeadPrisonFiremanD1						 R.I.P. Fireman
object_PhotoOfDeadPrisonFiremanD2						 R.I.P. Fireman
object_PhotoOfDeadPrisonFiremanD3						 R.I.P. Fireman
object_PhotoOfDeadLotteryOfficial						 R.I.P. Lottery Official
object_PhotoOfDeadForestryWorker						 R.I.P. Forestry Worker
object_PhotoOfDeadBarberChief							 R.I.P. Barber Chief
object_PhotoOfDeadBarber								 R.I.P. Barber
object_PhotoOfDeadCarMechanic2							 R.I.P. Car Mechanic
object_PhotoOfDeadCraneOperator2						 R.I.P. Crane Operator
object_PhotoOfDeadTowTruckDriver						 R.I.P. TowTruckDriver
object_PhotoOfDeadLimoDriver							 R.I.P. LimoDriver
object_PhotoOfDeadCarMechanic							 R.I.P. CarMechanic
object_PhotoOfDeadCarMechanicHelper						 R.I.P. CarMechanicHelper
object_PhotoOfDeadBasketballTrainer						 R.I.P. Basketball Trainer
object_PhotoOfDeadBasketballTrainerFullCourt			 R.I.P. Basketball Trainer
object_PhotoOfDeadBasketballTrainerHalfCourt			 R.I.P. Basketball Trainer
object_PhotoOfDeadBasketballTrainerYard					 R.I.P. Basketball Trainer
object_PhotoOfDeadSmartPhoneGenius						 R.I.P. "Smart" Phone Genius
object_PhotoOfDeadGardenWorker							 R.I.P. Garden Worker
object_PhotoOfDeadGreenhouseWorker						 R.I.P. Greenhouse Worker
object_PhotoOfDeadPlantationWorker						 R.I.P. Plantation Worker
object_PhotoOfDeadTailor								 R.I.P. Tailor
object_PhotoOfDeadTeslaMaticExpert						 R.I.P. TeslaMatic Expert
object_PhotoOfDeadShadyTeslaDude						 R.I.P. Shady Tesla Dude
object_PhotoOfDeadParoleOfficer							 R.I.P. Parole Officer
object_PhotoOfDeadParoleLawyer							 R.I.P. Parole Lawyer
object_PhotoOfDeadAppealsLawyer							 R.I.P. Appeals Lawyer
object_PhotoOfDeadAppealsMagistrate						 R.I.P. Appeals Magistrate
object_PhotoOfDeadParoleOfficerClone					 R.I.P. Parole Officer
object_PhotoOfDeadParoleLawyerClone						 R.I.P. Parole Lawyer
object_PhotoOfDeadAppealsLawyerClone					 R.I.P. Appeals Lawyer
object_PhotoOfDeadAppealsMagistrateClone				 R.I.P. Appeals Magistrate
object_PhotoOfDeadTeacher								 R.I.P. Teacher
object_PhotoOfDeadSpiritualLeader						 R.I.P. Spiritual Leader
object_PhotoOfDeadTeacherClone							 R.I.P. Teacher
object_PhotoOfDeadSpiritualLeaderClone					 R.I.P. Spiritual Leader
object_PhotoOfDeadFireman								 R.I.P. Fireman
object_PhotoOfDeadRiotGuard								 R.I.P. RiotGuard
object_PhotoOfDeadParamedic								 R.I.P. Paramedic
object_PhotoOfDeadSoldier								 R.I.P. Soldier
object_PhotoOfDeadVisitor								 R.I.P. Visitor
object_PhotoOfDeadExecutionWitness						 R.I.P. Execution Witness
object_PhotoOfDeadMetroGuard							 R.I.P. Metro Guard
object_PhotoOfDeadTruckDriver							 R.I.P. Truck Driver
object_PhotoOfDeadTowTruck2Driver						 R.I.P. TowTruck Driver
object_PhotoOfDeadTowTruck2DriverMilitary				 R.I.P. TowTruck Driver
object_PhotoOfDeadLimo2Driver0							 R.I.P. Limo Driver
object_PhotoOfDeadLimo2Driver1							 R.I.P. Limo Driver
object_PhotoOfDeadLimo2Driver2							 R.I.P. Limo Driver
object_PhotoOfDeadLimo2Driver3							 R.I.P. Limo Driver
object_PhotoOfDeadLimo2Driver4							 R.I.P. Limo Driver
object_PhotoOfDeadLimo2Driver5							 R.I.P. Limo Driver
object_PhotoOfDeadLimo2Driver6							 R.I.P. Limo Driver
object_PhotoOfDeadLimo2Driver7							 R.I.P. Limo Driver
object_PhotoOfDeadLimo2Driver8							 R.I.P. Limo Driver
object_PhotoOfDeadLimo2Driver9							 R.I.P. Limo Driver
object_PhotoOfDeadLimo2Driver10							 R.I.P. Limo Driver
object_PhotoOfDeadLimo2Driver11							 R.I.P. Limo Driver
object_PhotoOfDeadLimo2Driver12							 R.I.P. Limo Driver
object_PhotoOfDeadLimo2Driver13							 R.I.P. Limo Driver
object_PhotoOfDeadLimo2Driver14							 R.I.P. Limo Driver
object_PhotoOfDeadLimo2Driver15							 R.I.P. Limo Driver
object_PhotoOfDeadLimo2DriverLeaving					 R.I.P. Limo Driver
object_PhotoOfDeadSomeFriendParlour1					 R.I.P. Visitor
object_PhotoOfDeadSomeFriendParlour2					 R.I.P. Visitor
object_PhotoOfDeadSomeFriendParlour3					 R.I.P. Visitor
object_PhotoOfDeadSomeFriendParlour4					 R.I.P. Visitor
object_PhotoOfDeadSomeFriendParlour5					 R.I.P. Visitor
object_PhotoOfDeadSomeFriendCemetery					 R.I.P. Visitor
object_PhotoOfDeadSomeFriendFuneral						 R.I.P. Visitor
object_PhotoOfDeadSomeFriendLeaving						 R.I.P. Visitor
object_PhotoOfDeadSpiritualLeaderParlour				 R.I.P. Spiritual Leader
object_PhotoOfDeadChinookPilot							 R.I.P. Chinook Pilot
object_PhotoOfDeadChinookGuard							 R.I.P. Chinook Guard
object_PhotoOfDeadUnknown								 R.I.P. John Doe

object_Ghost											 Ghost

object_HearseRemover									 Hearse Remover
buildtoolbar_popup_obj_HearseRemover					 Place this little invisible tool somewhere on the map so a Hearse will never come. Can be sold after the Morgue grant completed if you still want Hearses to arrive.

causeofdeath_snitchculled								 Killed for being a Snitch
causeofdeath_execution									 Executed by Electric Chair
causeofdeath_unknown									 Killed by divine intervention

