
tooltip_Init_TimeWarpA                                   \nInitialisation, veuillez patienter ...
tooltip_Init_TimeWarpB                                   \nCalcule du facteur de distorsion temporelle.\nCela prend 1 minute de jeu ...\n\n Commencer à: *A   Fin à: *B\n Minute actuelle: *C\n Temps passé: *D\n\n Taille de la carte (avant extension): calcule en cours...\n Facteur de distorsion temporelle: calcule en cours...\n Mutateur de temps lent: calcule en cours...
tooltip_Init_TimeWarpC                                   \nRéférence complété. Résultats:\n\n Commencer à: *A   Fin à: *B\n Minute actuelle: *C\n Temps passé: *D\n\n Taille de la carte (avant extension): *E\n Facteur de distorsion temporelle: *F\n Mutateur de temps lent: *G\n\nAttendre encore ...
tooltip_ReadyForAction                                   \nPrêt pour l'action

object_PhotoOfDeadWorkman								 R.I.P. Ouvrier
object_PhotoOfDeadTruckDriver							 R.I.P. Camionneur
object_PhotoOfDeadGuard									 R.I.P. Gardien
object_PhotoOfDeadArmedGuard							 R.I.P. Gardien Armé
object_PhotoOfDeadDogHandler							 R.I.P. Maître-chien
object_PhotoOfDeadSniper								 R.I.P. Sniper
object_PhotoOfDeadTeacher								 R.I.P. Enseignant
object_PhotoOfDeadSpiritualLeader						 R.I.P. Prêtre
object_PhotoOfDeadParoleOfficer							 R.I.P. Agent de conditionnelle
object_PhotoOfDeadParoleLawyer							 R.I.P. Avocat de conditionnelle
object_PhotoOfDeadAppealsLawyer							 R.I.P. Avocat d'appel
object_PhotoOfDeadAppealsMagistrate						 R.I.P. Magistrat d'appel
object_PhotoOfDeadDog									 R.I.P. Chien
object_PhotoOfDeadRiotGuard								 R.I.P. Gardien d'émeute
object_PhotoOfDeadSoldier								 R.I.P. Soldat
object_PhotoOfDeadPrisoner								 R.I.P. Prisonnier
object_PhotoOfDeadDoctor								 R.I.P. Médecin
object_PhotoOfDeadParamedic								 R.I.P. Ambulancier
object_PhotoOfDeadCook									 R.I.P. Cuisinier
object_PhotoOfDeadGardener								 R.I.P. Jardinier
object_PhotoOfDeadJanitor								 R.I.P. Concierge
object_PhotoOfDeadFireman								 R.I.P. Pompier
object_PhotoOfDeadVisitor								 R.I.P. Visiteur
object_PhotoOfDeadExecutionWitness						 R.I.P. Témoin d’exécution
object_PhotoOfDeadWarden								 R.I.P. Directeur
object_PhotoOfDeadChief									 R.I.P. Chef
object_PhotoOfDeadForeman								 R.I.P. Contremaître
object_PhotoOfDeadPsychologist							 R.I.P. Psychologue
object_PhotoOfDeadAccountant							 R.I.P. Comptable
object_PhotoOfDeadLawyer								 R.I.P. Avocat
object_PhotoOfDeadYogaMaster							 R.I.P. Maître Yoga
object_PhotoOfDeadBarberChief							 R.I.P. Barbier Chef
object_PhotoOfDeadBarber								 R.I.P. Barbier
object_PhotoOfDeadTowTruckDriver						 R.I.P. Conducteur de dépanneuse
object_PhotoOfDeadLimoDriver							 R.I.P. Conducteur de limousine
object_PhotoOfDeadCarMechanic							 R.I.P. Mécanicien
object_PhotoOfDeadCarMechanicHelper						 R.I.P. Assistant Mécanicien
object_PhotoOfDeadBasketballTrainer						 R.I.P. Coatch de Basketball
object_PhotoOfDeadTeslaMaticExpert						 R.I.P. Expert TeslaMatic
object_PhotoOfDeadShadyTeslaDude						 R.I.P. Étrange mec de Tesla
object_PhotoOfDeadChinookPilot							 R.I.P. Pilote de Chinook
object_PhotoOfDeadChinookGuard							 R.I.P. Gardien de Chinook
object_PhotoOfDeadGraveDigger							 R.I.P. Fossoyeur
object_PhotoOfDeadForestryWorker						 R.I.P. Ouvrier de Foresterie
object_PhotoOfDeadPlantationWorker						 R.I.P. Ouvrier de Plantation
object_PhotoOfDeadGardenWorker							 R.I.P. Ouvrier de jardin
object_PhotoOfDeadTailor								 R.I.P. Couturier
object_PhotoOfDeadSmartPhoneGenius						 R.I.P. Génie du "smart" Phone
object_PhotoOfDeadPrisonFiremanA0						 R.I.P. Pompier
object_PhotoOfDeadPrisonFiremanA1						 R.I.P. Pompier
object_PhotoOfDeadPrisonFiremanA2						 R.I.P. Pompier
object_PhotoOfDeadPrisonFiremanA3						 R.I.P. Pompier
object_PhotoOfDeadPrisonFiremanB0						 R.I.P. Pompier
object_PhotoOfDeadPrisonFiremanB1						 R.I.P. Pompier
object_PhotoOfDeadPrisonFiremanB2						 R.I.P. Pompier
object_PhotoOfDeadPrisonFiremanB3						 R.I.P. Pompier
object_PhotoOfDeadPrisonFiremanC0						 R.I.P. Pompier
object_PhotoOfDeadPrisonFiremanC1						 R.I.P. Pompier
object_PhotoOfDeadPrisonFiremanC2						 R.I.P. Pompier
object_PhotoOfDeadPrisonFiremanC3						 R.I.P. Pompier
object_PhotoOfDeadPrisonFiremanD0						 R.I.P. Pompier
object_PhotoOfDeadPrisonFiremanD1						 R.I.P. Pompier
object_PhotoOfDeadPrisonFiremanD2						 R.I.P. Pompier
object_PhotoOfDeadPrisonFiremanD3						 R.I.P. Pompier
